Type,year,mean
Americas_Com,2012,7802
Americas_Com,2013,8078
Americas_Com,2014,8395
Americas_Com,2015,8671
Americas_Com,2016,9019
Americas_Com,2017,9413
CP_Com,2012,666
CP_Com,2013,882
CP_Com,2014,1132
CP_Com,2015,2452
CP_Com,2016,2811
CP_Com,2017,3070
EMEA_Com,2012,882
EMEA_Com,2013,826
EMEA_Com,2014,817
EMEA_Com,2015,737
EMEA_Com,2016,523
EMEA_Com,2017,502
Total_OS,2012,14
Total_OS,2013,357
Total_OS,2014,369
Total_OS,2015,375
Total_OS,2016,358
Total_OS,2017,219
